Comment;Designator;Footprint;LCSC Part #
0;R1 R2 R3 R6 R7;RESC0603X26N;
0.1uF;C4 C6 C12 C18;CAPC1005X55N;
1N5819;U$2;SOD-123;
1nF;C2 C10;CAPC1608X90N;
2K;R22;RESC2012X70N;
3.3K;R24;RESC2012X70N;
4.7K;R9 R17;RESC1608X55N;
10K;R15 R16;RESC2012X70N;
10uF;C1 C5 C7 C21;CAPC2012X135N;
12K;R4 R26;RESC2012X75N;
22uF;C3;CAPC1608X90N;
100nF;C14 C15;CAPC1608X90N;
100uF 6.3V 20%;C9;CAPC1608X90N;
200K;R5;RESC2012X75N;
470;R28;RESC3225X70N;
10118192;J1;AMPHENOL_10118192-0002LF;
APT2012SRCPRV;D1;LEDC2012X75N;
CL10A475KQ8NNNC;C8;CAPC1608X90N;
CP2102N;U3;QFN50P400X400X80-25N;
DPS310XTSA1;U10;XDCR_DPS310XTSA1;
ESP32-WROOM;U$1;ESP32-WROOM;
MIC5504-1.8YM5-TR;U7;SOT23-5P95_280X145XL45X37N;
NCP1117LPST33T3G;U1;SOT230P700X175-4N;
PCA9306USG;U9;SOP50P310X90-8N;
PESD5V0L4UG;U2;SOT65P210X110-5N;
SGP30SGP30;U13;SGP30;
SHTC1;U11;XDCR_SHTC1;
SS8050-G;Q1 Q2;SOT95P240X115-3N;
TL3305AF260QG;U5 U6;SW_TL3305AF260QG;
