Designator;Mid X;Mid Y;Layer;Rotation
C1;134.35;27.98;Top;270.0
C2;143.51;12.70;Top;0.0
C3;139.63;16.67;Top;0.0
C4;142.58;23.90;Top;90.0
C5;131.83;28.06;Top;90.0
C6;124.77;25.16;Top;90.0
C7;123.35;28.03;Top;180.0
C8;139.70;14.74;Top;0.0
C9;139.70;12.70;Top;0.0
C10;135.41;31.06;Top;0.0
C12;126.40;25.07;Top;270.0
C14;129.28;28.02;Top;90.0
C15;120.78;25.21;Top;90.0
C18;122.98;25.10;Top;270.0
C21;146.05;22.86;Top;90.0
D1;138.07; 4.42;Top;180.0
J1;156.21;19.05;Top;90.0
Q1;131.62;18.55;Top;180.0
Q2;131.62;22.36;Top;180.0
R1;124.38;32.54;Top;0.0
R2;128.22;14.28;Top;0.0
R3;149.08;19.62;Top;0.0
R4;135.43;20.32;Top;90.0
R5;125.05;20.67;Top;270.0
R6;134.87;24.48;Top;270.0
R7;149.08;18.10;Top;180.0
R9;138.10;23.82;Top;90.0
R15;135.41;33.35;Top;0.0
R16;143.51;10.16;Top;0.0
R17;128.20;24.62;Top;90.0
R22;138.00; 6.81;Top;0.0
R24;128.08;20.43;Top;270.0
R26;138.11;20.26;Top;270.0
R28;129.51;32.08;Top;0.0
U$1;108.77; 9.53;Top;90.0
U$2;152.40;22.86;Top;90.0
U1;142.24;29.21;Top;0.0
U2;149.86;13.97;Top;270.0
U3;144.01;18.28;Top;0.0
U5;153.67;29.75;Top;90.0
U6;153.67; 7.62;Top;90.0
U7;143.51; 5.08;Top;0.0
U9;131.33; 5.18;Top;90.0
U10;131.39; 9.43;Top;0.0
U11;134.89;12.21;Top;270.0
U13;127.04; 2.61;Top;0.0
